,algoName,symbol,quantity,lastTradedTime,lastTradedSide
0,DRB_BN,BANKNIFTY30SEP2554600CE,-35,2025-09-08 14:49:02.430923,SELL
1,DRB_BN,BANKNIFTY30SEP2552200PE,70,2025-09-08 15:20:03.898418,BUY
2,DRB_BN,BANKNIFTY30SEP2553500PE,-70,2025-09-03 13:32:03.380386,SELL
3,DRB_N,NIFTY09SEP2524900PE,-450,2025-09-08 09:34:01.676438,SELL
4,DRB_N,NIFTY09SEP2524050PE,450,2025-09-08 15:20:04.065653,BUY
5,DRB_N,NIFTY09SEP2524800CE,-450,2025-09-08 14:48:01.457238,SELL
6,DRB_N,NIFTY09SEP2524750CE,-450,2025-09-08 15:12:01.151071,SELL
7,GRB_BN,BANKNIFTY30SEP2554300CE,-35,2025-09-01 09:17:01.774121,SELL
8,GRB_BN,BANKNIFTY30SEP2554400CE,-35,2025-08-29 09:17:01.813690,SELL
9,GRB_N,NIFTY09SEP2524850PE,-450,2025-09-08 09:32:01.353615,SELL
10,GRB_N,NIFTY09SEP2524450PE,900,2025-09-08 15:20:04.193306,BUY
11,GRB_N,NIFTY09SEP2524800CE,-450,2025-09-08 09:18:01.218537,SELL
12,GRB_N,NIFTY09SEP2524900PE,-450,2025-09-08 09:38:01.843106,SELL
13,MagicRS,NIFTY09SEP2523950PE,450,2025-09-08 15:21:00.938328,BUY
14,MagicRS,NIFTY09SEP2524900PE,-450,2025-09-08 09:16:03.127769,SELL
15,MagicRS_BN,BANKNIFTY30SEP2554000CE,-35,2025-09-02 09:16:01.097835,SELL
16,MagicRS_BN,BANKNIFTY30SEP2554300CE,-35,2025-09-04 09:16:03.253296,SELL
17,MagicRS_BN,BANKNIFTY30SEP2553800PE,-35,2025-09-01 09:16:00.947976,SELL
18,MagicRS_BN,BANKNIFTY30SEP2554000PE,-35,2025-08-29 09:16:00.945185,SELL
19,MagicReversal50,NIFTY09SEP2524850PE,-450,2025-09-08 09:16:01.372746,SELL
20,MagicReversal50,NIFTY09SEP2524050PE,450,2025-09-08 15:21:00.803475,BUY
21,MagicReversal50_BN,BANKNIFTY30SEP2554700CE,-35,2025-09-04 09:16:03.544904,SELL
22,MagicReversal50_BN,BANKNIFTY30SEP2553700PE,-35,2025-08-29 09:16:01.127602,SELL
23,MagicReversal50_BN,BANKNIFTY30SEP2553500PE,-35,2025-09-01 09:16:01.058723,SELL
24,MagicReversal50_BN,BANKNIFTY30SEP2554400CE,-35,2025-09-02 09:16:01.263520,SELL
25,MagicTrend,NIFTY09SEP2524800CE,-900,2025-09-05 15:20:01.591892,SELL
26,MagicTrend,NIFTY09SEP2524750CE,-900,2025-09-08 15:20:04.074367,SELL
27,MagicTrend_BN,BANKNIFTY30SEP2554600CE,-70,2025-09-08 15:20:03.907688,SELL
28,MagicTrend_BN,BANKNIFTY30SEP2553800PE,-70,2025-09-03 15:20:03.680527,SELL
29,z,NIFTY09SEP2525400CE,3150,2025-09-08 15:22:03.439790,BUY
