,algoName,symbol,quantity,lastTradedTime,lastTradedSide
0,DRB_N,NIFTY09SEP2524900PE,-75,2025-09-08 09:34:01.786383,SELL
1,DRB_N,NIFTY09SEP2524800CE,-75,2025-09-08 14:48:01.447395,SELL
2,DRB_N,NIFTY09SEP2524750CE,-75,2025-09-08 15:12:01.124417,SELL
3,DRB_N,NIFTY09SEP2524050PE,75,2025-09-08 15:20:04.040736,BUY
4,GRB_N,NIFTY09SEP2524800CE,-75,2025-09-08 09:18:01.101595,SELL
5,GRB_N,NIFTY09SEP2524850PE,-75,2025-09-08 09:32:01.343927,SELL
6,GRB_N,NIFTY09SEP2524900PE,-75,2025-09-08 09:38:01.833472,SELL
7,GRB_N,NIFTY09SEP2524450PE,150,2025-09-08 15:20:04.049122,BUY
8,MagicRS,NIFTY09SEP2524900PE,-75,2025-09-08 09:16:03.083768,SELL
9,MagicRS,NIFTY09SEP2523950PE,75,2025-09-08 15:21:00.913606,BUY
10,MagicReversal50,NIFTY09SEP2524850PE,-75,2025-09-08 09:16:01.262582,SELL
11,MagicReversal50,NIFTY09SEP2524050PE,75,2025-09-08 15:21:00.921962,BUY
12,MagicTrend,NIFTY09SEP2524800CE,-150,2025-09-05 15:20:01.599613,SELL
13,MagicTrend,NIFTY09SEP2524750CE,-150,2025-09-08 15:20:04.057371,SELL
